pick_blue_1,pick_blue_2,pick_blue_3,pick_blue_4,pick_blue_5,pick_red_1,pick_red_2,pick_red_3,pick_red_4,pick_red_5,win_team
8,1,107,20,81,102,16,116,26,36,0
39,52,61,20,97,45,64,107,26,63,1
59,52,78,27,42,70,74,107,76,25,0
39,69,92,20,38,8,1,62,17,25,1
70,91,36,26,75,115,39,92,17,45,0
30,39,107,110,97,59,16,111,82,75,0
32,45,76,110,63,93,39,36,65,29,1
8,16,36,20,38,70,1,107,26,63,1
42,74,116,17,38,45,72,76,65,9,1
70,45,92,65,25,115,30,116,56,54,0
79,1,116,65,116,70,39,107,26,68,0
115,1,36,82,61,70,79,107,17,33,1
30,54,39,50,116,42,111,29,26,16,0
19,15,76,65,33,45,59,36,26,29,1
19,39,107,82,29,70,64,116,17,38,1
70,52,107,94,63,105,39,92,65,25,0
115,1,116,82,68,42,69,92,17,63,1
31,52,107,50,81,42,64,61,65,97,1
45,64,116,86,25,42,15,78,65,68,0
42,1,116,20,75,39,35,107,17,68,0
102,69,92,110,68,115,52,116,17,45,0
59,1,116,17,25,8,39,92,65,81,0
42,79,107,82,75,31,16,76,26,61,1
42,45,107,20,63,102,69,92,82,1,0
19,69,76,26,38,31,59,92,82,68,1
70,59,116,20,25,39,52,107,76,54,0
42,52,116,17,54,70,69,92,110,63,1
115,15,92,65,9,8,39,36,20,68,0
39,35,116,50,45,42,52,107,17,97,1
8,64,107,26,75,102,69,36,82,63,1
115,39,60,26,25,70,1,92,17,75,0
102,39,92,17,97,70,79,107,26,9,1
30,91,92,26,63,42,19,116,65,45,0
70,1,116,65,63,39,69,36,82,68,1
39,52,45,26,61,31,25,116,65,63,0
70,16,92,65,81,91,39,116,82,45,1
59,1,107,20,68,8,79,61,65,38,1
42,79,78,26,63,8,35,92,73,61,1
84,69,116,82,38,8,1,59,65,45,0
30,39,36,26,25,42,15,107,73,63,1
115,1,92,82,33,70,39,36,17,63,0
42,52,92,26,68,115,19,107,50,9,0
115,91,99,65,61,79,74,107,50,63,0
42,52,59,82,68,19,63,107,65,75,0
105,52,116,17,68,91,16,61,26,63,1
8,39,92,50,97,70,1,107,65,68,1
45,35,107,65,75,42,39,92,17,33,0
59,49,92,82,68,42,3,107,86,75,1
39,8,92,82,97,19,79,107,26,25,0
70,39,47,20,63,115,16,92,65,75,1
42,16,111,56,25,19,1,92,17,33,1
42,1,107,17,25,8,39,92,82,33,1
39,69,92,17,25,8,46,116,65,36,1
42,69,61,82,54,70,79,92,86,29,0
42,39,111,110,36,8,52,107,73,75,1
19,39,116,17,97,70,3,36,26,63,1
45,35,36,17,57,102,16,107,65,54,0
19,39,36,82,38,70,107,116,26,45,1
70,79,116,17,45,115,15,61,50,63,0
8,35,23,110,68,93,52,107,65,42,1
8,39,92,86,75,42,79,36,20,38,1
115,15,36,65,88,45,39,107,86,75,0
70,69,107,20,38,80,63,92,82,9,0
91,79,36,65,63,70,39,78,20,38,0
39,35,116,65,81,70,74,36,50,45,0
115,39,92,82,97,70,45,8,107,61,0
45,39,61,65,68,115,35,34,86,25,0
115,74,61,26,25,45,52,116,50,54,1
59,69,92,17,63,8,39,36,65,38,1
39,69,116,82,68,42,1,92,86,63,1
70,3,107,65,9,42,39,92,17,38,1
70,39,92,26,61,91,0,116,65,45,0
31,52,107,65,45,102,59,92,110,63,1
42,35,116,107,88,115,79,92,65,45,0
80,74,116,65,54,39,35,36,17,61,1
70,39,107,26,45,8,69,36,17,63,1
115,39,116,17,63,8,3,107,20,25,0
42,19,92,73,38,8,39,116,26,75,1
91,39,116,20,45,8,35,92,82,68,1
84,39,107,17,38,59,69,116,65,45,0
84,39,36,82,63,70,79,107,17,75,0
70,39,116,82,25,42,69,76,26,45,1
59,39,111,82,63,45,44,107,76,68,1
70,39,36,17,45,31,15,92,82,25,1
45,35,107,65,25,19,39,92,17,75,0
102,39,116,65,88,42,49,92,82,63,1
115,113,116,50,97,93,74,107,26,25,1
42,91,92,82,63,19,1,107,26,75,0
19,2,92,50,33,115,74,76,17,63,0
8,91,107,110,45,1,74,92,93,68,1
105,16,111,65,29,70,79,36,76,88,0
8,79,92,50,63,39,74,107,20,38,0
59,91,116,26,68,8,39,107,82,38,1
8,39,76,26,45,70,35,92,82,75,0
42,52,111,86,97,102,39,116,20,88,1
66,39,92,110,33,59,74,36,56,75,0
115,74,61,17,63,19,15,92,26,33,1
19,39,107,50,25,115,79,92,82,68,0
32,39,107,65,38,31,69,92,17,68,1
115,39,107,65,38,70,69,92,50,68,1
42,53,107,17,75,19,1,92,26,25,0
93,39,116,82,68,8,69,107,56,45,0
103,69,92,26,68,8,39,36,20,38,1
115,69,92,26,108,8,3,107,86,36,0
70,39,92,65,9,115,64,116,20,88,0
115,39,116,20,63,25,74,111,17,54,0
70,1,92,26,61,42,79,116,65,45,0
31,39,36,65,29,42,1,107,82,33,1
32,15,92,65,75,70,52,107,26,45,0
70,69,107,56,63,8,35,116,82,1,1
102,79,36,26,75,70,1,78,86,63,0
19,1,107,26,63,115,39,116,65,68,0
115,79,36,20,63,102,39,92,82,68,1
115,1,36,65,88,42,53,92,110,57,0
